"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"VR4HcRE: Virtual Reality Platform for Human-centric Requirements Elicitation","Y. Wang; X. Liu; B. Cheng; C. Arora; T. Hoang","School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia; School of Information Technology, Deakin University, Geelong, VIC, Australia","2022 IEEE International Symposium on Mixed and Augmented Reality Adjunct (ISMAR-Adjunct)","15 Dec 2022","2022","","","788","793","Virtual reality (VR) is an important interactive technology for collaboration and communication. However, VR has not been widely used for eliciting human-centric requirements in software engineering contexts, which is an important gap in both the application of VR technology and the research of software engineering. To fill this gap, in this paper, we develop the VR4HcRE platform as a remote multiplayer collaboration and communication system to explore its benefits in human-centric requirement engineering. We consult with software developers and requirements engineers, as stakeholders of the system, to define the features of the system, including remote multiplayer collaboration, audio transcription, simulation of human and environmental factors, and UI design based on mobile phone prototype. We conduct a pilot experiment with 21 participants. Preliminary results indicate that using VR to capture user or special user needs has the potential value, including improving collaboration interaction and requirements expression, and bringing a different sense of participation compared with the physical world. As an ongoing work, we hope this paper generates a series of new research ideas in virtual reality and requirements elicitation.","2771-1110","978-1-6654-5365-3","10.1109/ISMAR-Adjunct57072.2022.00168","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974443","Virtual Reality;Human-centric Requirements Elicitation;Remote Multiplayer Collaboration;Human Factor;Software and Its Engineering-Software Creation and Management-Design Software-Requirements Analysis","Solid modeling;Communication systems;Collaboration;Prototypes;Software;Mobile handsets;Environmental factors","computer games;formal specification;groupware;mobile computing;software engineering;systems analysis;user interfaces;virtual reality","collaboration interaction;communication system;environmental factors;human factors;human-centric requirement engineering;interactive technology;remote multiplayer collaboration;requirements elicitation;requirements engineers;requirements expression;software developers;software engineering contexts;virtual reality platform;VR technology;VR4HcRE platform","","","","27","IEEE","15 Dec 2022","","","IEEE","IEEE Conferences"
"Incorporating a Virtual Reality Environment in the Teaching of Analysis of Software Requirements","O. Ochoa; A. Babbit","Department of Electrical, Computer, Software & Systems Engineering, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA; Department of Electrical, Computer, Software & Systems Engineering, Embry-Riddle Aeronautical University, Daytona Beach, FL, USA","2019 IEEE Frontiers in Education Conference (FIE)","12 Mar 2020","2019","","","1","5","This Work in Progress paper in the Innovative Practice Category presents an approach to incorporate the use of a virtual reality environment in the teaching of analysis of software requirements through modeling. Common models include use case diagrams, state charts, data flow diagrams, etc., all serving their own role in defining different perspectives of a system. These different perspectives of the same system can be a powerful technique to facilitate the analysis of requirements about the system. Using a virtual reality environment allows for the linking of multiple perspectives from the separate analysis models to be viewed in three dimensions. This approach can be particularly beneficial to students in learning how to analyze models by providing a mechanism to examine the visual relationship between the perspectives. Using this approach allows the student to view, create, manipulate, and alter models within the native three-dimensional space, which can provide an indepth experience better suited for learning. The virtual reality environment also allows models to be nested to provide better abstractions and layered to provide a level of complexity impossible to replicate in the traditional two-dimensional space. This paper explores a prototype virtual reality environment to facilitate the use of software requirement models for undergraduate software engineering students. As part of this work, students will be exposed to the tool and tasked with using the virtual reality environment to analyze the models of systems. Assessment of the use of the approach will be conducted and results will be presented including feedback from the students, benefits found, insights and potential ways to evolve the approach for other areas such as design or testing.","2377-634X","978-1-7281-1746-1","10.1109/FIE43999.2019.9028676","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9028676","Virtual Reality;Requirements Analysis;SoftwareEngineering Education","Solid modeling;Software;Analytical models;Virtual reality;Data models;Education","computer aided instruction;computer science education;data visualisation;software engineering;teaching;virtual reality","software requirements analysis;virtual reality environment;software requirement models;teaching;native three-dimensional space","","","","10","IEEE","12 Mar 2020","","","IEEE","IEEE Conferences"
"Supporting Implementation of Virtual Reality in Engineering Design by Structured Reflection","D. Inkermann; C. Stechert; T. Ammersdörfer; H. P. Balzerkiewitz","Fritz-Süchting Institute of Mechanical Engineering, Technische Universität Clausthal, Clausthal-Zellerfeld, Germany; Faculty of Mechanical Engineering, Ostfalia University, Wolfenbüttel, Germany; Fritz-Süchting Institute of Mechanical Engineering, Technische Universität Clausthal, Clausthal-Zellerfeld, Germany; Faculty of Mechanical Engineering, Ostfalia University, Wolfenbüttel, Germany","2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","16 Feb 2023","2022","","","1","5","Multifaceted advantages are reported for the application of Virtual Reality (VR) technologies in engineering design. However, there are different challenges for productive use of VR in practice, caused by a lack of systematic information about potentials, technical and organizational requirements, limited support to guide the implementation process and additional efforts for preparation and post-processing activities. In this paper the usefulness of structured reflection to explore benefits and challenges on long- and short-term levels and with regard to social, process and goal aspects in highlighted. Therefore, a framework and guiding questions are presented and a case study of reflection on VR implementation in a lecture setting is reported. Based on the findings essential fields for further research are formulated.","","978-1-6654-8687-3","10.1109/IEEM55944.2022.10044376","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10044376","Virtual Reality;Engineering Design;Mixed Reality;Reflection;Engineering Processes","Systematics;Limiting;Engineering management;Focusing;Virtual reality;Companies;Industrial engineering","design engineering;engineering computing;groupware;product development;virtual reality","asynchronous collaboration;distributed product development teams;engineering design;organizational requirements;post-processing activities;structured reflection;systematic information;technical requirements;virtual reality technology","","","","20","IEEE","16 Feb 2023","","","IEEE","IEEE Conferences"
"[DC] Multi-user (Social) Virtual Reality Commnunication","S. N. B. Gunkel",Nederlandse Organisatie voor Toegepast Natuurwetenschappelijk Onderzoek (TNO),"2019 IEEE Conference on Virtual Reality and 3D User Interfaces (VR)","15 Aug 2019","2019","","","1359","1360","Virtual Reality (VR) applications are currently suffering several gaps to allow a full breakthrough in the consumer market. One aspect is the social isolation. Many VR experiences do not represent yourself or other users, making it lonely rather than a shared experience. VR applications that do offer a user representation mostly use artificial avatars. These applications may not be well suited for all communication use cases (e.g. at work or with your family). In this paper I present our current work, at TNO and in my PhD research, to create Social VR experiences where both the user and the environment are represented in photo-realistic quality. The aim is not only to allow users to experience VR together, but also to allow new ways of natural communication within VR, with an extended presence and immersion. My PhD research focuses on 3 aspects that are building a Social VR system: capture and processing, transmission and client composition. The main goal of my research is to move processing from the capture and orchestration into the cloud (and particularly into the edge network) to allow Social VR with a large set of users (100+) in one session and to support mobile end devices while maximizing the QoS and QoE.","2642-5254","978-1-7281-1377-7","10.1109/VR.2019.8797877","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8797877","Virtual Reality;VR;Social VR;Requirements;WebRTC;WebVR;Immersive Virtual Environments;Information systems;World Wide Web;Web conferencing;Multimedia information systems;Multimedia streaming","Virtual reality;Three-dimensional displays;Cameras;Quality of service;Quality of experience;Streaming media;Real-time systems","cloud computing;social networking (online);virtual reality","consumer market;social isolation;shared experience;VR applications;photo-realistic quality;natural communication;social VR experiences;social VR system;multiuser virtual reality commnunication","","1","","10","IEEE","15 Aug 2019","","","IEEE","IEEE Conferences"
"Virtual Reality Enabled Human-Centric Requirements Engineering","Y. Wang; B. Cheng; T. Hoang; C. Arora; X. Liu","School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia; School of Information Technology, Deakin University, Geelong, Australia","2021 36th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)","24 Jan 2022","2021","","","159","164","Human-centric requirements engineering aims to gather, analyse, and validate software requirements with a focus on human factors. However, human-centric requirements engineering is facing many challenges due to the limitations of conventional document-based or face-to-face interview-based requirements elicitation methods. To tackle those challenges, we propose a novel idea of using a virtual reality (VR) platform to facilitate human-centric requirements engineering. The key features of such a VR platform include automatic creation of 3D avatars based on user persona documents, the simulation of different environmental factors (e.g., lights and weather conditions), the simulation of different user conditions with special accessibility requirements (e.g., colour blindness), and the embodiment of user's perspective via the first-person view. A prototype system is developed to demonstrate the feasibility and effectiveness of the proposed VR enabled human-centric requirements engineering platform. As an on-going work, we hope this paper will generate a series of new and interesting research in human-centric requirements engineering.","2151-0830","978-1-6654-3583-3","10.1109/ASEW52652.2021.00041","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9680276","Human-Centric Requirements Engineering;Human Factors;Requirements Elicitation;Virtual Reality","Solid modeling;Three-dimensional displays;Conferences;Prototypes;Human factors;Software;Environmental factors","avatars;formal specification;human computer interaction;human factors;systems analysis;virtual reality","virtual reality enabled human-centric requirements engineering;validate software requirements;face-to-face interview-based requirements elicitation methods;human-centric requirements engineering platform","","1","","27","IEEE","24 Jan 2022","","","IEEE","IEEE Conferences"
"The automatic evaluation system of virtual reality simulation system of subsea production","B. Chen; X. Zuo","College of Information Science and Engineering, China University of Petroleum, Beijing, China; College of Information Science and Engineering, China University of Petroleum, Beijing, China","2020 12th International Conference on Intelligent Human-Machine Systems and Cybernetics (IHMSC)","23 Sep 2020","2020","2","","12","16","Aiming at the automatic evaluation system of virtual reality simulation system of subsea production, this paper starts from the simulation training requirements of subsea production, and then analyzes the characteristics of ROV operation, crane operation and winch operation during the training of various cases. Combined with the experience of relevant experts, the factors of systematic performance evaluation are defined. Based on a large number of data generated during the virtual reality simulation physical simulation, this paper studies and designs the system scheme of the virtual reality simulation automatic evaluation system for subsea production based on the fuzzy comprehensive evaluation method and the artificial expert's scoring. Furthermore, the evaluation process of the scheme is introduced in detail.","","978-1-7281-6517-2","10.1109/IHMSC49165.2020.10082","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204239","component;subsea production;fuzzy comprehensive evaluation;virtual reality simulation;automatic evaluation system","Solid modeling;Data models;Training;Computational modeling;Production;Virtual reality;Indexes","computer based training;cranes;fuzzy set theory;performance evaluation;production engineering computing;virtual reality","subsea production;fuzzy comprehensive evaluation method;evaluation process;virtual reality simulation system;simulation training requirements;ROV operation;crane operation;winch operation;systematic performance evaluation;virtual reality simulation physical simulation;system scheme;virtual reality simulation automatic evaluation system;artificial expert scoring","","","","12","IEEE","23 Sep 2020","","","IEEE","IEEE Conferences"
"Design and Implementation of Interactive VR Campus Roaming System","T. Luo; K. Chen; M. Liu; K. Sun; J. Xu; Z. Pan","Research Institute of Virtual Reality and Intelligent System, Hangzhou Normal University, Hangzhou, China; College of Information Science and Engineering, University of Jinan, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; College of Information Science and Engineering, University of Jinan, Jinan, China; College of Information Science and Engineering, University of Jinan, Jinan, China; Research Institute of Virtual Reality and Intelligent System, Hangzhou Normal University, Hangzhou, China","2018 International Conference on Virtual Reality and Visualization (ICVRV)","26 Aug 2019","2018","","","122","123","Virtual reality technology can be widely used in all aspects of virtual, and there are multiple successful cases. Jinan University was used as a research object in this project. The customers' natural requirements of spatial authenticity were analyzed in term of the natural guidance theory model, safety, comfort, motivation, and interaction efficiency in the VR campus experience. The Unity3D platform and the latest natural human-computer interaction technology were employed during the creation. By using the HTC Vive helmets and handles, we can collect human body data and scene motion data to drive virtual roaming actions, which can manipulate human motion behavior and allow virtual players to roam across land, water, and air, pick up rubbish to increase campus environmental protection values, make shots, play football, swim, and fight against negative campus energy with weapons. Tests have shown that the system is easy to use and widely praised by users.","2375-141X","978-1-5386-8497-9","10.1109/ICVRV.2018.00036","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8711230","virtual reality;real-time roaming;texture mapping;natural orientation;somatosensory interaction","Virtual reality;Visualization","human computer interaction;solid modelling;virtual reality","human body data;scene motion data;virtual roaming actions;human motion behavior;virtual players;campus environmental protection values;negative campus energy;interactive VR campus roaming system;virtual reality technology;multiple successful cases;Jinan University;customers;spatial authenticity;natural guidance theory model;interaction efficiency;VR campus experience;Unity3D platform;natural human-computer interaction technology","","1","","4","IEEE","26 Aug 2019","","","IEEE","IEEE Conferences"
"Interconnection model for networked virtual reality applications","M. Matijasevic; D. Gracanin; K. P. Valavanis; I. Lovrek","Faculty of Electrical Engineering and Computing, Department of Telecommunications, University of Zagreb, Zagreb, Croatia; Virtual Reality and Multimedia Laboratory and Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA; Virtual Reality and Multimedia Laboratory and Center for Advanced Computer Studies, University of Southwestern Louisiana, Lafayette, LA, USA; Faculty of Electrical Engineering and Computing, Department of Telecommunications, University of Zagreb, Zagreb, Croatia","Proceedings 24th Conference on Local Computer Networks. LCN'99","6 Aug 2002","1999","","","52","61","Specification of networking requirements for networked virtual reality applications and a way of propagating the user/application level requirements down to the communication level are open research issues. As a contribution to ongoing research, we propose a model, named interconnection model, that represents a network-oriented view of a distributed virtual environment. Within the model, bandwidth requirements are addressed in more detail for shared virtual objects that change as a result of user interactions. A prototype multi-user distributed virtual environment for teleoperation of a mobile robot has been used as a case study.","0742-1303","0-7695-0309-8","10.1109/LCN.1999.801996","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=801996","","Virtual reality;Prototypes;Quality of service;Electrical capacitance tomography;Java;Military computing;Humans;Laboratories;Bandwidth;Standards development","internetworking;virtual reality;distributed processing;telerobotics;mobile robots;transport protocols;multicast communication;virtual reality languages;Java","interconnection model;networked virtual reality applications;networking requirements specifications;user/application level requirements propagation;communication level;research;bandwidth requirements;shared virtual objects;user interactions;multi-user distributed virtual environment;teleoperation;mobile robot;computer network;UDP;IP multicast;VRML;IEEE 1278 Distributed Interactive Simulation;Java","","1","","17","IEEE","6 Aug 2002","","","IEEE","IEEE Conferences"
"ViRe-in2-GP-Methodology for Virtual Reality in Major Industrial and Infrastructural Projects","N. Mencke","Fraunhofer Institute for Factory Operation and Automation IFF, Magdeburg, Germany","2021 IEEE International Conference on Artificial Intelligence and Virtual Reality (AIVR)","22 Dec 2021","2021","","","124","128","Even though virtual reality (VR) technologies promise to boost efficiency because their three-dimensionality, virtuality and interactivity and enable simple and objectified access to object and process information representations, the design and implementation of VR systems that support major industrial and infrastructure project planning is largely case-based, permitting virtually no systematic improvement. The ViRe-in2 -methodology presented combines a structured, iterative process for VR planning of major industrial and infrastructure projects with the integrability of established, domain-specific methods and inherent cycles of self-optimization. The complexity of the requirements in this challenging domain is already being met systematically with effectively employed VR approaches.","","978-1-6654-3225-2","10.1109/AIVR52153.2021.00029","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9644387","virtual reality;project management;major projects;software development methods","Systematics;Databases;Conferences;Virtual reality;Information representation;Systems modeling;Planning","planning;production engineering computing;project management;virtual reality","infrastructural projects;virtuality;information representation;VR systems;industrial projects;VR approach;virtual reality technologies;ViRe-in2-GP-methodology","","","","27","IEEE","22 Dec 2021","","","IEEE","IEEE Conferences"
"Virtual environment modeling for requirements validation of high consequence systems","V. Winter; D. Desovski; B. Cukic","Sandia National Laboratories, USA; Lane Department of Computer Science and Electrical Engineering, West Virginia University, USA; Lane Department of Computer Science and Electrical Engineering, West Virginia University, USA","Proceedings Fifth IEEE International Symposium on Requirements Engineering","7 Aug 2002","2001","","","23","30","An essential type of ""evidence"" of the correctness of the requirements formalization process can be provided by human-based calculation. Human calculation can be significantly amplified by shifting from symbolic representations to graphical representations. Having a formally-defined system model, we can visualize formulas that represent the functional behavior of the system and associated safety constraints. This, in turn, provides an environment for the validation of system models. The visual model strengthens the specifier's ability to grasp the system's complexity, build a correct mental model of the system and write the symbolic specification. The visual model can also serve as a bridge between the domain expert and symbolic specification, and provide evidence of the correctness of the formalization process. As a case study, we developed a virtual environment model for the Production Cell robotic system. The model runs in the ImmersaDesk virtual reality environment. We used this model to evaluate the applicability of virtual reality environments for software requirements validation. Although it introduces higher cost in the requirements formalization phase, this approach can be very beneficial in the development of high-consequence systems.","","0-7695-1125-2","10.1109/ISRE.2001.948540","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=948540","","Virtual environment;Virtual reality;Humans;Visualization;Safety;Cognitive science;Bridges;Production systems;Robots;Costs","safety-critical software;virtual reality;virtual machines;formal verification;industrial robots;computer aided software engineering;robot programming","ImmersaDesk virtual reality environment;requirements validation;high-consequence systems;requirements formalization process correctness;human-based calculation;symbolic representations;graphical representations;formally defined system model;formula visualization;functional system behavior;safety constraints;system model validation;visual model;symbolic specification;case study;Production Cell robotic system;software requirements validation;cost","","2","","12","IEEE","7 Aug 2002","","","IEEE","IEEE Conferences"
