"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Automatic symbolic verification of embedded systems","R. Alur; T. A. Henzinger; Pei-Hsin Ho","Computing Sciences Research Center, Bell Laboratories, Murray Hill, NJ, USA; Department of Electrical Engineering and Computer Sciences, University of California Berkeley, Berkeley, CA, USA; Intel Development Laboratories, Intel Corporation, Hillsboro, OR, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1996","22","3","181","201","Presents a model-checking procedure and its implementation for the automatic verification of embedded systems. The system components are described as hybrid automata-communicating machines with finite control and real-valued variables that represent continuous environment parameters such as time, pressure and temperature. The system requirements are specified in a temporal logic with stop-watches, and verified by symbolic fixpoint computation. The verification procedure-implemented in the Cornell Hybrid Technology tool, HyTech-applies to hybrid automata whose continuous dynamics is governed by linear constraints on the variables and their derivatives. We illustrate the method and the tool by checking safety, liveness, time-bounded and duration requirements of digital controllers, schedulers and distributed algorithms.","1939-3520","","10.1109/32.489079","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=489079","","Embedded system;Automatic control;Pressure control;Temperature control;Control systems;Logic;Automata;Safety;Digital control;Distributed control","real-time systems;formal verification;temporal logic;finite state machines;software tools","automatic symbolic verification;real-time systems;embedded systems;model-checking procedure;hybrid automata;communicating machines;finite control;real-valued variables;continuous environment parameters;temporal logic;stop-watches;symbolic fixpoint computation;hybrid technology tool;HyTech;continuous dynamics;linear constraints;variable derivatives;safety checking;liveness;time-bounded requirements;duration requirements;digital controllers;schedulers;distributed algorithms","","318","3","","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Comparing detection methods for software requirements inspections: a replicated experiment","A. A. Porter; L. G. Votta; V. R. Basili","Department of Computer Science, University of Maryland, College Park, MD, USA; Software Production Research Department, AT&T Bell Labaratories, Naperville, IL, USA; Department of Computer Science, University of Maryland, College Park, MD, USA","IEEE Transactions on Software Engineering","6 Aug 2002","1995","21","6","563","575","Software requirements specifications (SRS) are often validated manually. One such process is inspection, in which several reviewers independently analyze all or part of the specification and search for faults. These faults are then collected at a meeting of the reviewers and author(s). Usually, reviewers use Ad Hoc or Checklist methods to uncover faults. These methods force all reviewers to rely on nonsystematic techniques to search for a wide variety of faults. We hypothesize that a Scenario-based method, in which each reviewer uses different, systematic techniques to search for different, specific classes of faults, will have a significantly higher success rate. We evaluated this hypothesis using a 3/spl times/2/sup 4/ partial factorial, randomized experimental design. Forty eight graduate students in computer science participated in the experiment. They were assembled into sixteen, three-person teams. Each team inspected two SRS using some combination of Ad Hoc, Checklist or Scenario methods. For each inspection we performed four measurements: (1) individual fault detection rate, (2) team fault detection rate, (3) percentage of faults first identified at the collection meeting (meeting gain rate), and (4) percentage of faults first identified by an individual, but never reported at the collection meeting (meeting loss rate). The experimental results are that (1) the Scenario method had a higher fault detection rate than either Ad Hoc or Checklist methods, (2) Scenario reviewers were more effective at detecting the faults their scenarios are designed to uncover, and were no less effective at detecting other faults than both Ad Hoc or Checklist reviewers, (3) Checklist reviewers were no more effective than Ad Hoc reviewers, and (4) Collection meetings produced no net improvement in the fault detection rate-meeting gains were offset by meeting losses.<>","1939-3520","","10.1109/32.391380","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=391380","","Inspection;Fault detection;Fault diagnosis;Design for experiments;Computer science;Assembly;Performance evaluation;Gain measurement;Loss measurement;Performance gain","formal specification;formal verification;software development management","detection methods;software requirements inspections;replicated experiment;software requirements specifications;nonsystematic techniques;scenario-based method;individual fault detection rate;team fault detection rate;fault detection rate","","249","1","20","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"UbeHealth: A Personalized Ubiquitous Cloud and Edge-Enabled Networked Healthcare System for Smart Cities","T. Muhammed; R. Mehmood; A. Albeshri; I. Katib","Department of Computer Science, King Abdulaziz University, Jeddah, Saudi Arabia; High Performance Computing Center, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science, King Abdulaziz University, Jeddah, Saudi Arabia; Department of Computer Science, King Abdulaziz University, Jeddah, Saudi Arabia","IEEE Access","28 Jun 2018","2018","6","","32258","32285","Smart city advancements are driving massive transformations of healthcare, the largest global industry. The drivers include increasing demands for ubiquitous, preventive, and personalized healthcare, to be provided to the public at reduced risks and costs. Mobile cloud computing could potentially meet the future healthcare demands by enabling anytime, anywhere capture and analyses of patients' data. However, network latency, bandwidth, and reliability are among the many challenges hindering the realization of next-generation healthcare. This paper proposes a ubiquitous healthcare framework, UbeHealth, that leverages edge computing, deep learning, big data, high-performance computing (HPC), and the Internet of Things (IoT) to address the aforementioned challenges. The framework enables an enhanced network quality of service using its three main components and four layers. Deep learning, big data, and HPC are used to predict network traffic, which in turn are used by the Cloudlet and network layers to optimize data rates, data caching, and routing decisions. Application protocols of the traffic flows are classified, enabling the network layer to meet applications' communication requirements better and to detect malicious traffic and anomalous data. Clustering is used to identify the different kinds of data originating from the same application protocols. A proof of concept UbeHealth system has been developed based on the framework. A detailed literature review is used to capture the design requirements for the proposed system. The system is described in detail including the algorithmic implementation of the three components and four layers. Three widely used data sets are used to evaluate the UbeHealth system.","2169-3536","","10.1109/ACCESS.2018.2846609","King Abdulaziz University(grant numbers:G-661-611-38); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8382164","Cloudlets;deep learning;Internet of Things (IoT);mobile edge computing;mobile healthcare;preventive healthcare;traffic classification;traffic prediction;survey;fog computing;cloud computing;multimedia applications;smart cities","Medical services;Cloud computing;Edge computing;Quality of service;Machine learning;Smart cities;Internet of Things","Big Data;cloud computing;health care;Internet of Things;learning (artificial intelligence);medical computing;mobile computing;parallel processing;protocols;quality of service;smart cities","smart cities;mobile cloud computing;future healthcare demands;network latency;next-generation healthcare;ubiquitous healthcare framework;edge computing;deep learning;high-performance computing;HPC;network traffic;network layers;data rates;data caching;application protocols;anomalous data;Big Data;UbeHealth system;personalized ubiquitous cloud computing;edge-enabled networked healthcare system;personalized healthcare;patient data analysis;reliability;Internet of Things;IoT;enhanced network quality of service;routing decisions;traffic flows;malicious traffic detection","","159","","145","OAPA","12 Jun 2018","","","IEEE","IEEE Journals"
"Mixed reality in education, entertainment, and training","C. E. Hughes; C. B. Stapleton; D. E. Hughes; E. M. Smith","University of Central Florida, USA; University of Central Florida, USA; University of Central Florida, USA; University of Central Florida","IEEE Computer Graphics and Applications","7 Nov 2005","2005","25","6","24","30","Transferring research from the laboratory to mainstream applications requires the convergence of people, knowledge, and conventions from divergent disciplines. Solutions involve more than combining functional requirements and creative novelty. To transform technical capabilities of emerging mixed reality (MR) technology into the mainstream involves the integration and evolution of unproven systems. For example, real-world applications require complex scenarios (a content issue) involving an efficient iterative pipeline (a production issue) and driving the design of a story engine (a technical issue) that provides an adaptive experience with an after-action review process (a business issue). This article describes how a multi-disciplinary research team transformed core MR technology and methods into diverse urban terrain applications. These applications are used for military training and situational awareness, as well as for community learning to significantly increase the entertainment, educational, and satisfaction levels of existing experiences in public venues.","1558-1756","","10.1109/MCG.2005.139","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1528429","mixed reality;augmented reality;augmented virtuality;scripting;multisensory;multimodal","Virtual reality;Auditory displays;Space technology;Computer displays;Computer science education;Portals;Haptic interfaces;Marine animals;Oceans;Augmented reality","augmented reality;educational computing;entertainment;military computing","mixed reality;education;entertainment;military training;MR technology;urban terrain applications;community learning","Computer Graphics;Computer Simulation;Computer-Assisted Instruction;Education;Models, Theoretical;Multimedia;Recreation;Systems Integration;Teaching;User-Computer Interface","149","1","12","IEEE","7 Nov 2005","","","IEEE","IEEE Magazines"
"CRIGOS: a compact robot for image-guided orthopedic surgery","G. Brandt; A. Zimolong; L. Carrat; P. Merloz; H. . -W. Staudte; S. Lavallee; K. Radermacher; G. Rau","Helmholtz-Institute Aachen, Aachen, Germany; Helmholtz-Institute Aachen, Aachen, Germany; TIMC laboratory, Faculté de Médicine, Institute Albert Bonniot, La Tronche, France; Orthopaedic Department, CHU A. Michallon, Grenoble, France; Orthopaedic Department, District Hospital Marienhöhe, Germany; PRAXIM, La Tronche, France; Helmholtz-Institute Aachen, Aachen, Germany; Helmholtz-Institute Aachen, Aachen, Germany","IEEE Transactions on Information Technology in Biomedicine","6 Aug 2002","1999","3","4","252","260","The CRIGOS (compact robot for image-guided orthopedic surgery) project was set up for the development of a compact surgical robot system for image-guided orthopedic surgery based on user requirements. The modular system comprises a compact parallel robot and a software system for planning of surgical interventions and for supervision of the robotic device. Because it is not sufficient to consider only technical aspects in order to improve clinical routines the therapeutic outcome of conventional interventions, a user-centered and task-oriented design process has been developed which also takes human factors into account. The design process for the CRIGOS system was started from requirement analysis of various orthopedic interventions using information gathered from literature, questionnaires, and workshops with domain experts. This resulted in identification of conventional interventions for which the robotic system would improve the medical and procedural quality. A system design concept has been elaborated which includes definitions of components, functionalities, and interfaces, Approaches to the acquisition of calibrated X-rays will be presented in the paper together with design and evaluation of a first human-computer interface. Finally, the first lab-type parallel robot based on low-cost standard components is presented together with the first evaluation results concerning positioning accuracy.","1558-0032","","10.1109/4233.809169","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=809169","","Orthopedic surgery;Parallel robots;Medical robotics;Process design;Software systems;Human factors;Information analysis;Biomedical imaging;System analysis and design;X-rays","surgery;medical image processing;orthopaedics;human factors;position control;medical robotics;user interfaces","CRIGOS project;compact robot for image-guided orthopedic surgery;user requirement;modular system;compact parallel robot;software system;surgical intervention planning;robotic device supervision;therapeutic outcome;task-oriented design process;user-centered design process;human factors;requirement analysis;medical quality;procedural quality;functionalities;components;interfaces;calibrated X-ray acquisition;human-computer interface;positioning accuracy","Humans;Orthopedics;Robotics;Therapy, Computer-Assisted;X-Rays","113","42","22","IEEE","6 Aug 2002","","","IEEE","IEEE Journals"
"Image-driven view management for augmented reality browsers","R. Grasset; T. Langlotz; D. Kalkofen; M. Tatzgern; D. Schmalstieg","Graz University of Technology; Technische Universitat Graz, Graz, Steiermark, AT; Technische Universitat Graz, Graz, Steiermark, AT; Graz University of Technology; Technische Universitat Graz, Graz, Steiermark, AT","2012 IEEE International Symposium on Mixed and Augmented Reality (ISMAR)","7 Jan 2013","2012","","","177","186","In this paper, we introduce a novel view management technique for placing labels in Augmented Reality systems. A common issue in many Augmented Reality applications is the absence of knowledge of the real environment, limiting the efficient representation and optimal layout of the digital information augmented onto the real world. To overcome this problem, we introduce an image-based approach, which combines a visual saliency algorithm with edge analysis to identify potentially important image regions and geometric constraints for placing labels. Our proposed solution also includes adaptive rendering techniques that allow a designer to control the appearance of depth cues. We describe the results obtained from a user study considering different scenarios, which we performed for validating our approach. Our technique will provide special benefits to Augmented Reality browsers that usually lack scene knowledge, but also to many other applications in the domain of Augmented Reality such as cultural heritage and maintenance applications.","","978-1-4673-4662-7","10.1109/ISMAR.2012.6402555","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6402555","H.5.1 [Information Interfaces and Presentation]: Multimedia Information Systems—Artificial, augmented and virtual realities;H.5.2 [Information Interfaces and Presentation]: User Interface—User interface management system (UIMS)","Layout;Visualization;Image edge detection;Labeling;Image color analysis;Augmented reality;Linear programming","augmented reality;edge detection;geometry;rendering (computer graphics)","image-driven view management;augmented reality browser;view management technique;augmented reality system;digital information;image-based approach;visual saliency algorithm;edge analysis;image region;geometric constraint;labels;adaptive rendering technique;depth cue appearance;scene knowledge;cultural heritage;maintenance application","","88","16","41","IEEE","7 Jan 2013","","","IEEE","IEEE Conferences"
"Artificial Intelligence to Manage Network Traffic of 5G Wireless Networks","Y. Fu; S. Wang; C. -X. Wang; X. Hong; S. McLaughlin",Heriot-Watt University; Heriot-Watt University; Heriot-Watt University; Xiamen University; Heriot-Watt University,"IEEE Network","29 Nov 2018","2018","32","6","58","64","The deployment of 5G wireless communication systems is projected to begin in 2020. With new scenarios, new technologies, and new network architectures, the traffic management for 5G networks will present significant technical challenges. In recent years, AI technologies, especially ML technologies, have demonstrated significant success in many application domains, suggesting their potential to help solve the problem of 5G traffic management. In this article, we investigate the new characteristics of 5G wireless network traffic and discuss challenges they present for 5G traffic management. Potential solutions and research directions for the management of 5G traffic, including distributed and lightweight ML algorithms and a novel AI assistant content retrieval algorithm framework, are discussed.","1558-156X","","10.1109/MNET.2018.1800115","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8553655","","5G mobile communication;Telecommunication traffic;Networked control systems;Traffic control;Supervised learning;Wireless networks;Network architecture;Artificial intelligence;Content management","5G mobile communication;learning (artificial intelligence);telecommunication computing;telecommunication traffic","ML technologies;artificial intelligence;5G wireless networks;AI technologies;network traffic;5G traffic management;machine learning","","70","","15","IEEE","29 Nov 2018","","","IEEE","IEEE Magazines"
"iDental: A Haptic-Based Dental Simulator and Its Preliminary User Evaluation","D. Wang; Y. Zhang; J. Hou; Y. Wang; P. Lv; Y. Chen; H. Zhao","State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China; School and Hospital of Stomatology, Peking University, Beijing, China; School and Hospital of Stomatology, Peking University, Beijing, China; School and Hospital of Stomatology, Peking University, Beijing, China; School and Hospital of Stomatology, Peking University, Beijing, China; State Key Laboratory of Virtual Reality Technology and Systems, Beihang University, Beijing, China","IEEE Transactions on Haptics","15 Nov 2012","2012","5","4","332","343","Performance evaluation is indispensable for a surgical simulator to become acceptable. A haptics-based dental simulator (iDental) has been developed and preliminary user evaluation on its first-generation prototype has been carried out to gain the knowledge. Based on detailed requirement analysis of Periodontics procedures, a combined evaluation method including qualitative and quantitative analysis was designed. Construct validity was used to compare the performance difference between two groups of participants (faculty members and dental graduate students). These participants were required to perform three periodontal examination and treatment procedures including periodontal pocket probing, calculus detection, and removal. From the evaluation results, we found that penetration between tool and teeth or cheek will greatly decrease the fidelity of the simulation, therefore, it is necessary to utilize 6-DOF haptic device with both force and torque feedback in dental simulator, and accordingly it is needed to extend point-based rendering to 6-DOF haptic rendering of multiregion contacts. Furthermore, several other key research topics that will enable haptic technology to be effective in a practical dental simulator were identified, including simulation of deformable body such as tongue and gingival, and simulation of occlusion of tongue and cheek on teeth, etc.","2329-4051","","10.1109/TOH.2011.59","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6060821","Dental simulator;periodontics;qualitative evaluation;quantitative evaluation;construct validity;haptic rendering","Dentistry;Haptic interfaces;Teeth;Performance evaluation;Force feedback;Surgery;Rendering (computer graphics)","force feedback;medical computing;rendering (computer graphics)","iDental;haptic-based dental simulator;preliminary user evaluation;performance evaluation;surgical simulator;first-generation prototype;requirement analysis;periodontics procedures;qualitative analysis;quantitative analysis;faculty members;dental graduate students;treatment procedures;periodontal pocket probing;calculus detection;calculus removal;6-DOF haptic device;force feedback;torque feedback;point-based rendering;multiregion contacts;occlusion simulation","","58","2","25","IEEE","25 Oct 2011","","","IEEE","IEEE Journals"
"Identifying, Assigning, and Quantifying Crosscutting Concerns","M. Eaddy; A. Aho; G. C. Murphy","Department of Computer Science, Columbia University, USA; Department of Computer Science, Columbia University, USA; Department of Computer Science, University of British Columbia, Canada","First International Workshop on Assessment of Contemporary Modularization Techniques (ACoM '07)","11 Jun 2007","2007","","","2","2","Crosscutting concerns degrade software quality. Before we can modularize the crosscutting concerns in our programs to increase software quality, we must first be able to find them. Unfortunately, accurately locating the code related to a concern is difficult, and without proper metrics, determining how much the concern is crosscutting is impossible. We propose a systematic methodology for identifying which code is related to which concern, and a suite of metrics for quantifying the amount of crosscutting code. Our concern identification and assignment guidelines resolve some of the ambiguity issues encountered by other researchers. We applied this approach to systematically identify all the requirement concerns in a 13,531 line program. We found that 95% of the concerns were crosscutting - indicating a significant potential for improving modularity - and that our metrics were better able to determine which concerns would benefit the most from reengineering.","","0-7695-2967-4","10.1109/ACOM.2007.4","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4228624","","Software quality;Computer science;Guidelines;Degradation;Testing;Humans;Scattering;Containers","formal specification;program diagnostics;software metrics;software quality","software quality;crosscutting concern identification;software metrics;crosscutting concern quantification;formal specification","","49","","23","IEEE","11 Jun 2007","","","IEEE","IEEE Conferences"
"Tactile Sensors for Minimally Invasive Surgery: A Review of the State-of-the-Art, Applications, and Perspectives","N. Bandari; J. Dargahi; M. Packirisamy","Mechanical Engineering Department, Robotic Surgery Laboratory, Concordia University, Montreal, Canada; Mechanical Engineering Department, Robotic Surgery Laboratory, Concordia University, Montreal, Canada; Mechanical Engineering Department, Optical-Bio Microsystems Laboratory, Concordia University, Montreal, Canada","IEEE Access","14 Jan 2020","2020","8","","7682","7708","Minimally invasive surgery has been one of the most significant evolutions in medicine. In this approach, the surgeon inserts specially-designed instruments through a small incision on the patient's skin into the body cavities, abdomen, veins or, arteries and performs the surgery on organs. As a major limitation, surgeons lose their natural tactile perception due to indirect touch on the organs. Since the loss of tactile perception compromises the ability of surgeons in tissue distinction and maneuvers, researchers have proposed different tactile sensors. This review is to provide researchers with a literature map for the state-of-the-art of tactile sensors in minimally invasive surgery, e.g. in robotic, laparoscopic, palpation, biopsy, heart ablation, and valvuloplasty. In this regard, the pertinent literature from the year 2000 on sensing principles, design requirements, and specifications were reviewed in this study. The survey showed that size, range, resolution, variation, electrical passivity, and magnetic-resonance-compatibility were the most critical specification to study for tactile sensors. Based on the results, some of the requirements, e.g., magnetic-resonance-compatibility and electrical passivity are of less generality and more application-dependent; however, size, resolution, and range specifications differ for various applications and are of utmost importance.","2169-3536","","10.1109/ACCESS.2019.2962636","Fonds de Recherche du Québec - Nature et Technologies; Fonds de Recherche du Québec - Nature et Technologies; Concordia University; Natural Sciences and Engineering Research Council of Canada; Natural Sciences and Engineering Research Council of Canada; Concordia University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8943415","Electrical sensors;minimally invasive surgery;optical sensors;robotic surgery;tactile sensors","Tactile sensors;Force;Optical sensors;Minimally invasive surgery","biomedical measurement;blood vessels;medical robotics;skin;surgery;tactile sensors;touch (physiological)","tissue distinction;tactile sensors;heart ablation;electrical passivity;magnetic-resonance-compatibility;minimally invasive surgery;arteries;organs;natural tactile perception;skin;body cavities;abdomen;veins;biopsy;valvuloplasty;palpation;robotic surgery;laparoscopic surgery","","48","","121","CCBY","26 Dec 2019","","","IEEE","IEEE Journals"
