Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Discounted Prototyping of Virtual Reality Solutions for Science Education","Design, User Experience, and Usability: Designing Pleasurable Experiences","","","","10.1007/978-3-319-58637-3_38","Ghislain Maurice Norbert IsabweMargrethe Synnøve MoxnesMarie Ristesund","2017","http://link.springer.com/chapter/10.1007/978-3-319-58637-3_38","Chapter"
"Suitability of FIT User Acceptance Tests for Specifying Functional Requirements: Developer Perspective","Extreme Programming and Agile Methods - XP/Agile Universe 2004","","","","10.1007/978-3-540-27777-4_7","Grigori MelnikKris ReadFrank Maurer","2004","http://link.springer.com/chapter/10.1007/978-3-540-27777-4_7","Chapter"
"Requirements Analysis and Modeling with Problem Frames and SysML: A Case Study","Modelling Foundations and Applications","","","","10.1007/978-3-642-13595-8_8","Pietro ColomboFerhat KhendekLuigi Lavazza","2010","http://link.springer.com/chapter/10.1007/978-3-642-13595-8_8","Chapter"
"Designing a Virtual Reality Software: What Is the Real Contribution of End-Users to the Requirements Prioritization?","Evaluation of Novel Approaches to Software Engineering","","","","10.1007/978-3-642-54092-9_1","Emilie Loup-EscandeOlivier Christmann","2013","http://link.springer.com/chapter/10.1007/978-3-642-54092-9_1","Chapter"
"Enhancing User-Centered Design by Adopting the Taguchi Philosophy","Human-Computer Interaction. Interaction Design and Usability","","","","10.1007/978-3-540-73105-4_39","Wei ZhouDavid HeesomPanagiotis Georgakis","2007","http://link.springer.com/chapter/10.1007/978-3-540-73105-4_39","Chapter"
"Generating VR Meeting Rooms with Non-rectangular Floor Plans Using Cost Optimization and Hard Constraints","Virtual Reality and Mixed Reality","","","","10.1007/978-3-031-16234-3_10","Katja TümmersTobias KemperArnulph Fuhrmann","2022","http://link.springer.com/chapter/10.1007/978-3-031-16234-3_10","Chapter"
"Integration of program construction and verification: the PROSPECTRA methodology","System Development and Ada","","","","10.1007/3-540-18341-8_21","Bernd Krieg-Brückner","1987","http://link.springer.com/chapter/10.1007/3-540-18341-8_21","Chapter"
"A Multifunctional VR-Simulator Platform for the Evaluation of Automotive User Interfaces","Human-Computer Interaction. HCI Applications and Services","","","","10.1007/978-3-540-73111-5_123","Tony PoitschkeMarkus AblaßmeierStefan ReifingerGerhard Rigoll","2007","http://link.springer.com/chapter/10.1007/978-3-540-73111-5_123","Chapter"
"Advanced Maintenance Simulation by Means of Hand-Based Haptic Interfaces","Human-Computer Interaction – INTERACT 2009","","","","10.1007/978-3-642-03658-3_12","Michele NappiLuca PaolinoStefano RicciardiMonica SebilloGiuliana Vitiello","2009","http://link.springer.com/chapter/10.1007/978-3-642-03658-3_12","Chapter"
"Mobile Location-Based Augmented Reality Framework","Environmental Software Systems. Computer Science for Environmental Protection","","","","10.1007/978-3-319-89935-0_39","Simon BurkardFrank Fuchs-KittowskiSebastian HimbergerFabian FischerStefan Pfennigschmidt","2017","http://link.springer.com/chapter/10.1007/978-3-319-89935-0_39","Chapter"
"Hand Rehabilitation Modes Combining Exoskeleton-Assisted Training with Tactile Feedback for Hemiplegia Patients: A Preliminary Study","Intelligent Robotics and Applications","","","","10.1007/978-3-031-13835-5_60","Bo HeMin LiGuoying He","2022","http://link.springer.com/chapter/10.1007/978-3-031-13835-5_60","Chapter"
"The Technology-Enhanced Requirements for the Three-Fold Stroke Rehabilitation to Support Independent Living","Information and Communication Technologies for Ageing Well and e-Health","","","","10.1007/978-3-030-52677-1_8","Awais AhmadKarin AhlinPeter Mozelius","2020","http://link.springer.com/chapter/10.1007/978-3-030-52677-1_8","Chapter"
"A Model-Based Design Process for Interactive Virtual Environments","Interactive Systems. Design, Specification, and Verification","","","","10.1007/11752707_19","Erwin CuppensChris RaymaekersKarin Coninx","2006","http://link.springer.com/chapter/10.1007/11752707_19","Chapter"
"On formal support for industrial-scale requirements analysis","Hybrid Systems","","","","10.1007/3-540-57318-6_39","T. AndersonR. de LemosJ. S. FitzgeraldA. Saeed","1993","http://link.springer.com/chapter/10.1007/3-540-57318-6_39","Chapter"
"The Design and Evaluation of a Middleware Library for Distribution of Language Entities","Advances in Computing Science – ASIAN 2003. Progamming Languages and Distributed Computation Programming Languages and Distributed Computation","","","","10.1007/978-3-540-40965-6_16","Erik KlintskogZacharias El BannaPer BrandSeif Haridi","2003","http://link.springer.com/chapter/10.1007/978-3-540-40965-6_16","Chapter"
"rCOS: Refinement of Component and Object Systems","Formal Methods for Components and Objects","","","","10.1007/11561163_9","Zhiming LiuHe JifengXiaoshan Li","2005","http://link.springer.com/chapter/10.1007/11561163_9","Chapter"
"Workshop on Interaction Techniques in Real and Simulated Assistive Smart Environments","Ambient Intelligence","","","","10.1007/978-3-642-16917-5_41","Felix KamiethJohannes SchäferJuan-Carlos NaranjoAntonella ArcaJacopo Aleotti","2010","http://link.springer.com/chapter/10.1007/978-3-642-16917-5_41","Chapter"
"An Exploratory Study on How Internet of Things Developing Companies Handle User Experience Requirements","Requirements Engineering: Foundation for Software Quality","","","","10.1007/978-3-319-77243-1_2","Johanna BergmanThomas OlssonIsabelle JohanssonKirsten Rassmus-Gröhn","2018","http://link.springer.com/chapter/10.1007/978-3-319-77243-1_2","Chapter"
"A methodology for the design of distributed web systems","Advanced Information Systems Engineering","","","","10.1007/3-540-63107-0_20","Guido PonciaBarbara Pernici","1997","http://link.springer.com/chapter/10.1007/3-540-63107-0_20","Chapter"
